productname,price,date,hour_of_transaction
Red Pants,$10.99,2020-07-28,18
Red Pants,$10.99,2020-07-28,19
Flower Dress,$25.99,2020-07-28,20
Orange Belt,$13.99,2020-07-28,20
Pink Shorts,$9.99,2020-07-28,20
Red Pants,$10.99,2020-07-28,21
Flower Dress,$25.99,2020-07-28,21
Orange Belt,$13.99,2020-07-28,21
Yellow Skirt,$17.99,2020-07-28,21
Red Pants,$10.99,2020-08-02,8
Pink Shorts,$9.99,2020-08-02,11
Blue Pants,$11.99,2020-08-02,11
Green Pants,$12.99,2020-08-02,11
Yellow Skirt,$17.99,2020-08-02,11
Red Pants,$10.99,2020-08-02,11
Blue Pants,$11.99,2020-08-02,11
Green Pants,$12.99,2020-08-02,11
Blue Pants,$11.99,2020-08-02,11
Green Pants,$12.99,2020-08-02,11
Red Pants,$10.99,2020-08-02,12
Yellow Skirt,$17.99,2020-08-02,12
Red Pants,$10.99,2020-08-02,12
Pink Shorts,$9.99,2020-08-02,12
Yellow Skirt,$17.99,2020-08-02,12
Blue Pants,$11.99,2020-08-02,12
Green Pants,$12.99,2020-08-02,12
Pink Shorts,$9.99,2020-08-02,12
Red Pants,$10.99,2020-08-02,14
Pink Shorts,$9.99,2020-08-02,16
Yellow Skirt,$17.99,2020-08-02,17
Red Pants,$10.99,2020-08-07,8
Flower Dress,$25.99,2020-08-07,8
Orange Belt,$13.99,2020-08-07,8
Blue Pants,$11.99,2020-08-07,13
Green Pants,$12.99,2020-08-07,13
Red Pants,$10.99,2020-08-07,14
Blue Pants,$11.99,2020-08-07,16
Green Pants,$12.99,2020-08-07,16
Red Pants,$10.99,2020-08-07,18
Flower Dress,$25.99,2020-08-07,20
Orange Belt,$13.99,2020-08-07,20
